ingredient,cluster,related_ingredient_1,related_ingredient_2,related_ingredient_3,related_ingredient_4,related_article_1,related_article_2
acacia-gum,gums_thickeners,xanthan-gum,locust-bean-gum,guar-gum,wheat-bran,food-thickeners-gums-in-dog-food,how-to-read-dog-supplement-labels
agar-agar,gums_thickeners,xanthan-gum,sodium-alginate,pectin,wheat-bran,food-thickeners-gums-in-dog-food,how-to-read-dog-supplement-labels
alfalfa-nutrient-concentrate,vegetables,direct-dehydrated-alfalfa-pellets,zucchini,tomatoes,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
algal-oil,omega3_marine_lipids,sardine-oil,salmon-oil,menhaden-oil,whole-antarctic-krill-meal,omega-3-fish-oil-for-dogs,omega-3-for-cats
alginic-acid,gums_thickeners,xanthan-gum,sodium-alginate,pectin,wheat-bran,food-thickeners-gums-in-dog-food,how-to-read-dog-supplement-labels
amylase,digestive_enzymes,protease,papain,lipase,yogurt,digestive-enzymes-for-dogs,gut-health-for-dogs
anchovies,marine_proteins,whole-antarctic-krill-meal,whitefish-meal,whitefish,sardine-oil,protein-for-dogs,dog-skin-coat-supplements
anchovy-meal,marine_proteins,whole-antarctic-krill-meal,whitefish-meal,shrimp-meal,sardine-oil,protein-for-dogs,dog-skin-coat-supplements
animal-digest,flavors_palatable_digests,poultry-digest,liver-digest,fish-digest,turkey-meal,how-to-read-dog-supplement-labels,how-pet-supplements-are-made
animal-fat,animal_fats,poultry-fat,pork-fat,lamb-fat,vegetable-oil,dog-skin-coat-supplements,all-natural-dog-supplements
anthocyanins,plant_antioxidants,zeaxanthin,vitamin-e-supplement,vitamin-e-succinate,watermelon,antioxidants-for-dogs,antioxidants-for-cats
apple-cider-vinegar,flavors_palatable_digests,white-distilled-vinegar,smoke-flavor,propylene-glycol,turkey-meal,how-to-read-dog-supplement-labels,how-pet-supplements-are-made
apples,fruits,watermelon,pineapple,pear,zeaxanthin,antioxidants-for-dogs,what-extends-dog-lifespan
artificial-flavor,flavors_palatable_digests,smoke-flavor,pork-liver-flavor,natural-flavor,turkey-meal,how-to-read-dog-supplement-labels,how-pet-supplements-are-made
ascorbic-acid,plant_antioxidants,zeaxanthin,vitamin-e-supplement,vitamin-e-succinate,watermelon,antioxidants-for-dogs,antioxidants-for-cats
astaxanthin,omega3_marine_lipids,sardine-oil,salmon-oil,omega-3-fatty-acids,whole-antarctic-krill-meal,omega-3-fish-oil-for-dogs,omega-3-for-cats
astragalus,mushrooms_adaptogens,withania-somnifera,shiitake,reishi,zeaxanthin,immune-support-for-dogs,immune-support-for-cats
autolyzed-yeast,yeast_fermentation_immune,selenium-yeast,nutritional-yeast,hydrolyzed-yeast,yogurt,yeast-beta-glucan-for-dogs,yeast-fermentate-for-dogs
bacillus-coagulans,probiotics,yogurt,sauerkraut,probiotics,resistant-starch,probiotics-for-dogs,probiotics-for-cats
banana,fruits,watermelon,pineapple,pear,zeaxanthin,antioxidants-for-dogs,what-extends-dog-lifespan
bananas,fruits,watermelon,pineapple,pear,zeaxanthin,antioxidants-for-dogs,what-extends-dog-lifespan
barley,grains_grain_products,barley-malt-extract,cracked-pearled-barley,wheat-gluten,tapioca-starch,fillers-in-dog-supplements,protein-for-dogs
barley-grass,vegetables,zucchini,tomatoes,sweet-potatoes,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
barley-malt-extract,grains_grain_products,barley,cracked-pearled-barley,wheat-gluten,tapioca-starch,fillers-in-dog-supplements,protein-for-dogs
bean-flour,legumes,pea-flour,lentil-flour,coconut-flour,wheat-flour,fillers-in-dog-supplements,protein-for-dogs
beef,animal_muscle_meats,turkey,pork,lamb,beef-spleen,protein-for-dogs,human-grade-dog-treats
beef-fat,animal_fats,beef-tallow,poultry-fat,pork-fat,vegetable-oil,dog-skin-coat-supplements,all-natural-dog-supplements
beef-heart,organ_meats,beef-spleen,beef-liver,beef-kidney,beef,organ-based-nutrition-for-dogs,how-much-liver-to-feed-dog
beef-kidney,organ_meats,beef-spleen,beef-liver,beef-heart,beef,organ-based-nutrition-for-dogs,how-much-liver-to-feed-dog
beef-liver,organ_meats,beef-heart,beef-kidney,beef-spleen,tripe,organ-based-nutrition-for-dogs,how-much-liver-to-feed-dog
beef-meal,meat_meals_byproducts,turkey-meal,soybean-meal,poultry-by-product-meal,beef,what-is-meat-meal-dog-food,chicken-by-products-dog-food
beef-spleen,organ_meats,beef-liver,beef-kidney,beef-heart,beef,organ-based-nutrition-for-dogs,how-much-liver-to-feed-dog
beef-tallow,animal_fats,beef-fat,poultry-fat,pork-fat,vegetable-oil,dog-skin-coat-supplements,all-natural-dog-supplements
beet-fiber,fibers_stool_support,beet-pulp,sweet-potato-fiber,pea-hull-fiber,resistant-starch,dog-anal-gland-diet,fillers-in-dog-supplements
beet-juice-color,artificial_colors,vegetable-juice-for-color,spirulina-color,natural-color,sorbic-acid,red-dye-40-dog-food,how-to-read-cat-food-labels
beet-pulp,fibers_stool_support,beet-fiber,pea-fiber,psyllium-husk,oat-fiber,dog-anal-gland-diet,fillers-in-dog-supplements
beetroot,vegetables,zucchini,tomatoes,sweet-potatoes,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
beta-carotene,plant_antioxidants,zeaxanthin,vitamin-e-supplement,vitamin-e-succinate,watermelon,antioxidants-for-dogs,antioxidants-for-cats
bha,preservatives,sorbic-acid,sodium-propionate,sodium-benzoate,yellow-6,how-to-read-dog-supplement-labels,fillers-in-dog-supplements
bht,preservatives,sorbic-acid,sodium-propionate,sodium-benzoate,yellow-6,how-to-read-dog-supplement-labels,fillers-in-dog-supplements
bifidobacterium-animalis,probiotics,bifidobacterium-lactis,yogurt,sauerkraut,resistant-starch,probiotics-for-dogs,probiotics-for-cats
bifidobacterium-lactis,probiotics,bifidobacterium-animalis,yogurt,sauerkraut,resistant-starch,probiotics-for-dogs,probiotics-for-cats
bioperine,plant_antioxidants,zeaxanthin,vitamin-e-supplement,vitamin-e-succinate,watermelon,antioxidants-for-dogs,antioxidants-for-cats
biotin,vitamins,vitamin-k1-supplement,vitamin-k1,vitamin-d3-supplement,zinc-sulfate,dog-vitamins-deficiency,puppy-vitamins
blue-1,artificial_colors,blue-2,yellow-6,yellow-5,sorbic-acid,red-dye-40-dog-food,how-to-read-cat-food-labels
blue-2,artificial_colors,blue-1,yellow-6,yellow-5,sorbic-acid,red-dye-40-dog-food,how-to-read-cat-food-labels
blueberries,fruits,watermelon,pineapple,pear,zeaxanthin,antioxidants-for-dogs,what-extends-dog-lifespan
bone-broth,joint_support,collagen,gelatin,glucosamine,green-lipped-mussel,joint-supplements-for-dogs,uc-ii-vs-glucosamine-for-dogs
boswellia,joint_support,turmeric,msm,hyaluronic-acid,turkey-liver,joint-supplements-for-dogs,uc-ii-vs-glucosamine-for-dogs
brewers-dried-yeast,yeast_fermentation_immune,dried-yeast,selenium-yeast,nutritional-yeast,yogurt,yeast-beta-glucan-for-dogs,yeast-fermentate-for-dogs
brewers-rice,grains_grain_products,rice,brown-rice,rice-starch,tapioca-starch,fillers-in-dog-supplements,protein-for-dogs
broccoli,vegetables,zucchini,tomatoes,sweet-potatoes,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
bromelain,digestive_enzymes,protease,papain,lipase,yogurt,digestive-enzymes-for-dogs,gut-health-for-dogs
brown-rice,grains_grain_products,rice,brewers-rice,rice-starch,tapioca-starch,fillers-in-dog-supplements,protein-for-dogs
butternut-squash,vegetables,squash,zucchini,tomatoes,zeaxanthin,all-natural-dog-supplements,what-extends-dog-lifespan
calcium-ascorbate,vitamins,calcium-pantothenate,calcium-d-pantothenate,vitamin-k1-supplement,calcium-iodide,dog-vitamins-deficiency,puppy-vitamins
